Neighborhood,Surface area,"Inhabitants, total, 2019 (HE)","Males, 2019 (HE)","Females, 2019 (HE)","Average age of inhabitants, 2019 (HE)","0-2 years, 2019 (HE)","3-6 years, 2019 (HE)","7-12 years, 2019 (HE)","13-15 years, 2019 (HE)","16-17 years, 2019 (HE)","18-19 years, 2019 (HE)","20-24 years, 2019 (HE)","25-29 years, 2019 (HE)","30-34 years, 2019 (HE)","35-39 years, 2019 (HE)","40-44 years, 2019 (HE)","45-49 years, 2019 (HE)","50-54 years, 2019 (HE)","55-59 years, 2019 (HE)","60-64 years, 2019 (HE)","65-69 years, 2019 (HE)","70-74 years, 2019 (HE)","75-79 years, 2019 (HE)","80-84 years, 2019 (HE)","85 years or over, 2019 (HE)","Aged 18 or over, total, 2019 (KO)","Median income of inhabitants, 2019 (HR)"
00100  Helsinki Keskusta - Etu-Töölö (Helsinki),2353278,18334,8661,9673,41,402,507,723,318,221,254,1490,2455,1870,1499,1330,1029,1116,1027,870,768,1010,726,372,347,16163,29706
00120  Punavuori (Helsinki),414010,7140,3379,3761,41,151,232,333,171,94,103,534,844,716,572,546,461,428,403,364,339,340,261,140,108,6159,29816
00130  Kaartinkaupunki (Helsinki),428960,1582,763,819,41,41,45,72,30,20,36,116,151,136,123,124,109,135,103,77,80,91,50,25,18,1374,32894
00140  Kaivopuisto - Ullanlinna (Helsinki),931841,7958,3625,4333,42,192,259,423,182,94,99,519,805,754,639,614,469,482,507,416,377,472,333,176,146,6808,31718
00150  Eira - Hernesaari (Helsinki),1367328,9420,4323,5097,40,221,268,406,124,93,124,752,1281,1039,833,776,555,536,520,454,388,432,307,153,158,8308,28478
00160  Katajanokka (Helsinki),541136,4832,2271,2561,44,121,179,258,131,80,74,241,377,338,362,345,317,303,262,278,316,385,260,112,93,4063,30168
00170  Kruununhaka (Helsinki),713343,7489,3467,4022,41,152,258,345,163,104,122,499,778,679,653,613,474,500,440,418,361,385,255,161,129,6467,30720
00180  Kamppi - Ruoholahti (Helsinki),1735293,14098,6781,7317,40,394,492,652,266,180,192,924,1716,1588,1323,1118,791,881,841,685,590,685,387,227,166,12114,27711
00190  Suomenlinna (Helsinki),765012,748,364,384,37,21,44,90,39,14,14,21,27,47,64,74,53,74,52,32,24,31,14,8,5,540,27688
00200  Lauttasaari (Helsinki),2619434,15904,7351,8553,40,481,664,927,346,199,206,886,1798,1730,1473,1319,950,801,725,674,658,821,531,306,409,13287,29703
00210  Vattuniemi (Helsinki),1478221,8563,3954,4609,42,286,415,483,201,104,87,254,599,842,841,691,490,490,463,452,473,631,353,215,193,7074,32861
00220  Jätkäsaari (Helsinki),684781,7722,3667,4055,33,348,414,339,101,89,108,1013,1297,1080,764,499,301,264,297,255,228,198,82,29,16,6431,26016
00230  Ilmala (Helsinki),171851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00240  Länsi-Pasila (Helsinki),2439966,5477,2518,2959,42,150,186,188,94,63,90,359,676,584,501,325,229,258,343,319,319,392,159,134,108,4796,25322
00250  Taka-Töölö (Helsinki),3065419,11503,5149,6354,39,305,327,426,184,101,167,983,1789,1425,1040,830,594,594,528,477,467,465,356,229,216,10160,27726
00260  Keski-Töölö (Helsinki),751805,5603,2541,3062,45,110,148,185,73,58,63,397,654,535,430,347,287,301,358,291,272,370,294,192,238,5029,28959
00270  Pohjois-Meilahti (Helsinki),864732,7801,3368,4433,40,206,260,413,187,123,135,582,954,819,677,534,431,452,418,387,323,337,241,165,157,6612,26245
00280  Ruskeasuo (Helsinki),822672,2992,1330,1662,41,76,95,147,49,26,60,300,381,281,237,218,144,162,154,140,92,108,109,70,143,2599,25174
00290  Meilahden sairaala-alue (Helsinki),268739,145,60,85,45,4,5,6,1,0,2,7,9,14,14,10,12,6,13,13,5,14,8,0,2,129,32443
00300  Pikku Huopalahti (Helsinki),851105,5764,2575,3189,41,175,240,396,191,114,108,320,455,475,416,345,327,347,418,359,287,289,191,117,194,4648,25499
00310  Kivihaka (Helsinki),621966,911,392,519,42,27,26,29,7,8,15,47,125,124,72,63,55,43,47,53,53,52,26,22,17,814,24998
00320  Etelä-Haaga (Helsinki),1942280,10344,4644,5700,40,254,352,419,152,118,143,867,1520,1339,934,661,499,487,468,450,388,425,279,238,351,9049,26496
00330  Munkkiniemi (Helsinki),1726680,9122,4016,5106,44,235,354,522,239,146,177,491,708,712,635,591,501,492,529,520,423,585,426,362,474,7626,30028
00340  Kuusisaari-Lehtisaari (Helsinki),1008214,1776,887,889,44,51,58,127,74,44,35,100,75,74,78,132,133,142,155,117,89,102,73,52,65,1422,34641
