TotalPubs,Gender
1,Male
1,Male
1,Female
1,Female
1,Male
5,Female
8,Male
1,Male
2,Male
2,Male
1,Male
3,Male
1,Female
1,Female
1,Male
1,Male
1,Male
3,Female
1,Male
1,Male
2,Female
1,Male
1,Male
1,Female
1,Female
1,Male
3,Male
1,Female
1,Male
1,Male
1,Male
1,Female
1,Male
1,Male
1,Male
1,Female
1,Female
1,Female
1,Male
1,Male
1,Female
1,Female
1,Male
1,Female
1,Female
1,Male
1,Female
1,Male
1,Male
2,Female
1,Female
1,Female
2,Female
3,Male
1,Female
1,Male
3,Female
1,Male
1,Male
1,Male
3,Male
1,Female
1,Female
1,Male
1,Male
1,Male
3,Male
1,Male
1,Male
2,Male
1,Male
1,Male
61,Male
1,Male
1,Female
2,Male
1,Male
2,Male
1,Male
1,Female
1,Female
32,Female
3,Female
1,Male
1,Male
1,Male
2,Male
3,Female
1,Female
1,Male
2,Male
1,Female
1,Male
1,Male
1,Female
5,Male
1,Male
2,Male
3,Male
1,Male
1,Female
1,Male
1,Male
2,Male
1,Male
1,Male
1,Male
1,Male
2,Female
1,Male
1,Male
1,Male
1,Female
1,Female
1,Male
1,Female
1,Male
2,Male
1,Female
18,Male
1,Male
1,Male
2,Female
2,Male
2,Female
1,Female
1,Male
10,Male
1,Female
1,Female
3,Male
1,Male
1,Male
1,Male
1,Male
1,Female
1,Female
1,Female
1,Male
2,Female
1,Male
2,Male
3,Male
2,Male
6,Male
1,Male
2,Female
3,Male
2,Male
1,Female
1,Female
1,Female
2,Male
1,Male
1,Male
1,Female
1,Male
1,Male
1,Male
1,Male
1,Male
10,Female
1,Male
1,Female
6,Male
1,Female
1,Female
1,Female
1,Male
1,Female
1,Female
13,Male
1,Male
1,Male
1,Male
1,Male
1,Female
1,Female
1,Female
1,Male
1,Female
1,Male
1,Male
1,Female
1,Male
2,Female
1,Female
1,Male
1,Female
1,Female
2,Female
1,Male
1,Male
3,Female
1,Male
3,Female
1,Male
3,Female
1,Male
4,Male
4,Male
1,Male
1,Female
1,Male
1,Male
2,Male
1,Male
1,Male
3,Female
1,Male
1,Male
1,Male
1,Female
1,Female
2,Male
1,Male
1,Female
2,Male
1,Female
1,Female
1,Male
1,Male
2,Male
3,Male
3,Male
1,Male
1,Male
1,Male
1,Female
1,Male
2,Male
4,Male
1,Female
1,Male
2,Male
1,Male
2,Male
1,Female
2,Female
5,Female
1,Male
1,Male
1,Female
2,Male
3,Female
1,Female
1,Male
1,Female
1,Male
2,Male
1,Male
3,Female
3,Female
2,Male
1,Male
2,Male
1,Female
1,Female
1,Female
3,Male
2,Female
1,Female
1,Female
1,Female
8,Male
1,Male
1,Male
1,Male
1,Male
3,Male
1,Male
2,Female
1,Female
2,Male
1,Female
1,Female
1,Female
3,Male
2,Female
1,Male
1,Male
1,Male
3,Male
2,Female
2,Male
1,Male
1,Male
1,Male
1,Male
1,Male
1,Male
1,Male
2,Male
1,Male
3,Male
1,Female
3,Male
1,Male
1,Female
1,Male
1,Male
1,Male
1,Male
1,Male
1,Male
1,Male
2,Male
8,Male
2,Male
6,Male
2,Male
1,Male
1,Male
1,Male
2,Female
1,Male
1,Male
1,Female
8,Female
4,Male
1,Male
1,Male
1,Female
1,Female
1,Male
2,Male
3,Male
2,Female
1,Male
2,Female
1,Male
1,Male
2,Male
5,Female
2,Male
1,Female
1,Male
1,Male
1,Male
1,Male
1,Male
1,Female
1,Male
1,Male
1,Male
1,Male
1,Female
2,Male
1,Female
1,Male
1,Female
1,Male
3,Male
1,Male
1,Female
1,Male
2,Male
6,Female
1,Female
10,Male
1,Female
8,Female
1,Male
3,Male
1,Female
1,Male
3,Female
1,Male
1,Male
4,Male
1,Female
2,Male
1,Male
1,Male
1,Female
1,Male
1,Female
1,Male
1,Male
1,Male
1,Male
7,Female
2,Female
1,Male
1,Male
1,Male
1,Male
2,Male
1,Female
1,Female
11,Male
1,Female
1,Female
2,Female
1,Female
2,Female
1,Male
1,Female
1,Female
2,Female
1,Female
1,Male
1,Male
1,Male
1,Male
4,Female
1,Male
1,Male
2,Female
2,Male
1,Female
2,Female
1,Female
1,Male
1,Male
1,Female
2,Female
1,Female
1,Female
3,Male
2,Male
1,Male
1,Female
2,Female
1,Male
1,Female
1,Female
1,Female
1,Male
2,Male
1,Female
1,Male
1,Male
1,Male
7,Male
2,Female
1,Female
1,Male
1,Male
2,Male
1,Female
1,Female
2,Female
1,Female
1,Male
2,Female
1,Female
1,Male
1,Male
2,Male
3,Female
1,Male
1,Female
1,Male
6,Female
1,Female
3,Female
1,Female
3,Male
2,Male
1,Male
1,Female
18,Male
1,Male
1,Male
1,Female
1,Male
1,Male
1,Male
1,Male
6,Male
2,Female
1,Male
2,Female
2,Female
1,Male
3,Male
1,Female
1,Male
1,Female
1,Male
5,Male
2,Male
1,Male
1,Female
1,Female
1,Male
4,Female
3,Male
1,Male
3,Female
1,Female
12,Female
5,Male
3,Male
6,Male
1,Female
1,Female
1,Female
1,Male
2,Female
1,Female
1,Male
1,Male
4,Male
1,Male
1,Male
1,Male
1,Male
1,Female
1,Male
1,Female
1,Male
1,Female
1,Male
1,Female
1,Female
1,Female
2,Female
3,Female
1,Male
1,Female
2,Male
1,Male
1,Female
1,Male
