TotalPubs,Gender
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
10,Female
1,Female
4,Female
2,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
6,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
2,Female
2,Female
1,Female
1,Female
2,Female
1,Female
12,Female
1,Female
1,Female
1,Female
2,Female
1,Female
3,Female
2,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
8,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
2,Female
3,Female
1,Female
1,Female
1,Female
3,Female
1,Female
2,Female
4,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
4,Female
1,Female
3,Female
1,Female
3,Female
1,Female
1,Female
2,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
2,Female
3,Female
1,Female
9,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
4,Female
1,Female
1,Female
1,Female
2,Female
4,Female
4,Female
2,Female
1,Female
1,Female
9,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
6,Female
1,Female
3,Female
1,Female
2,Female
1,Female
1,Female
1,Female
4,Female
6,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
9,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
5,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
7,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
2,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
2,Female
1,Female
4,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
3,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
4,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
5,Female
1,Female
2,Female
1,Female
2,Female
1,Female
1,Female
1,Female
3,Female
2,Female
1,Female
1,Female
3,Female
4,Female
4,Female
2,Female
2,Female
2,Female
7,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
5,Female
2,Female
7,Female
1,Female
2,Female
1,Female
2,Female
3,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
3,Female
2,Female
1,Female
1,Female
1,Female
2,Female
1,Female
2,Female
1,Female
1,Female
2,Female
1,Female
1,Female
4,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
2,Female
2,Female
4,Female
1,Female
1,Female
1,Female
1,Female
3,Female
2,Female
1,Female
7,Female
1,Female
1,Female
3,Female
1,Female
1,Female
2,Female
2,Female
1,Female
1,Female
2,Female
1,Female
8,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
2,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
2,Female
1,Female
2,Female
14,Female
4,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
2,Female
1,Female
1,Female
1,Female
2,Female
6,Female
1,Female
2,Female
1,Female
1,Female
2,Female
1,Female
1,Female
3,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
8,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
3,Female
2,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
11,Female
1,Female
1,Female
3,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
3,Female
7,Female
1,Female
1,Female
1,Female
1,Female
6,Female
2,Female
1,Female
1,Female
8,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
6,Female
2,Female
1,Female
1,Female
1,Female
5,Female
1,Female
1,Female
4,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
2,Female
1,Female
2,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
3,Female
1,Female
1,Female
1,Female
4,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
7,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
12,Female
1,Female
2,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
3,Female
2,Female
2,Female
2,Female
1,Female
1,Female
6,Female
1,Female
2,Female
1,Female
1,Female
2,Female
2,Female
1,Female
1,Female
2,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
5,Female
1,Female
2,Female
1,Female
4,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
4,Female
3,Female
2,Female
1,Female
13,Female
1,Female
1,Female
6,Female
3,Female
1,Female
1,Female
6,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
3,Female
2,Female
1,Female
5,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
4,Female
1,Female
2,Female
2,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
4,Female
2,Female
1,Female
2,Female
1,Female
2,Female
1,Female
4,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
4,Female
1,Female
2,Female
1,Female
1,Female
2,Female
4,Female
2,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
10,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
2,Female
2,Female
1,Female
1,Female
8,Female
3,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
4,Female
1,Female
3,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
2,Female
3,Female
1,Female
3,Female
1,Female
2,Female
1,Female
1,Female
1,Female
6,Female
1,Female
1,Female
3,Female
2,Female
7,Female
3,Female
1,Female
6,Female
2,Female
3,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
3,Female
4,Female
1,Female
3,Female
1,Female
1,Female
10,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
2,Female
2,Female
1,Female
1,Female
4,Female
4,Female
2,Female
2,Female
1,Female
1,Female
6,Female
1,Female
12,Female
1,Female
1,Female
1,Female
1,Female
3,Female
5,Female
2,Female
1,Female
1,Female
1,Female
4,Female
1,Female
1,Female
4,Female
2,Female
1,Female
2,Female
3,Female
3,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
2,Female
2,Female
1,Female
1,Female
1,Female
4,Female
2,Female
1,Female
1,Female
1,Female
1,Female
2,Female
1,Female
3,Female
1,Female
2,Female
1,Female
1,Female
1,Female
3,Female
1,Female
1,Female
1,Female
2,Female
1,Female
1,Female
1,Female
1,Female
2,Female
2,Female
2,Female
1,Female
1,Female
1,Female
1,Female
1,Female
1,Female
3,Female
2,Female
1,Female
3,Female
1,Female
1,Female
